"CASE","STARTED","EE01","HH01_01","HH01_02","HH01_03","HH01_04","HH01_05","HH01_06","HH01_07","HH01_08","HH01_09","HH01_10","HH01_11","HH01_12","HH01_13","HH01_14","HH01_15","HH01_16","IV01_01","IV01_02","IV01_03","IV01_04","IV01_05","IV01_06","IV01_07","IV01_08","IV01_09","IV01_10","IV01_11","IV01_12","IV01_13","IV01_14","IV01_15","IV01_16","IV01_17","IV01_18","IV01_19","IV01_20","IV01_21","IV01_22","IV01_23","IV01_24","IV01_25","IV01_26","IV01_27","IV01_28","IV01_29","IV01_30","IV01_31","IV01_32","IV01_33","IV01_34","IV01_35","IV01_36","IV01_37","IV01_38","IV01_39","IV01_40","IV01_41","IV01_42","IV01_43","IV01_44","IV01_45","IV01_46","IV01_47","IV01_48","IV01_49","IV01_50","IV01_51","IV01_52","IV01_53","IV01_54","IV01_55","IV01_56","IV01_57","IV01_58","IV01_59","IV01_60","IV01_61","IV01_62","IV01_63","IV01_64","IV01_65","IV01_66","IV01_67","IV02_01","IV02_02","IV02_03","KV01","KV02","KV03","KV04","KV05","KV06","RA01_01","RA01_02","SA01_01","SA02_01","SA03_01","SA04_01","SA05_01","SA06_01","SA07_01","SA08_01","SA09_01","SA10_01","SA11_01","SA12_01","SA13_01","SA14_01","SA15_01","SA16_01","SA17_01","SA18_01","SA19_01","SA20_01","SA21_01","SA22_01","SA23_01","SA24_01","SA25_01","SA26_01","SA27_01","SA28_01","SA29_01","SA30_01","SA31_01","SA32_01","SA33_01","SA34_01","SA35_01","SA36_01","SA37_01","SA38_01","SA39_01","SA40_01","SA41_01","SA42_01","SA43_01","SA44_01","SA45_01","SA46_01","SA47_01","SA48_01","SA49_01","SA50_01","SA51_01","SA52_01","SA53_01","SA54_01","SA55_01","SA56_01","SA57_01","SA58_01","SA59_01","SA60_01","SA61_01","SA62_01","SA63_01","SA64_01","SA65_01","SA66_01","SA67_01","SV01","SV02","SV03","SV04","SV05","SV06","SV07","SV08","SV09","SV10","SV11","SV12","SV13","SV14","SV15","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME011","TIME012","TIME014","TIME015","TIME017","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","TIME044","TIME045","TIME046","TIME047","TIME048","TIME049","TIME050","TIME051","TIME052","TIME053","TIME054","TIME055","TIME056","TIME057","TIME058","TIME059","TIME060","TIME061","TIME062","TIME063","TIME064","TIME065","TIME066","TIME067","TIME068","TIME069","TIME070","TIME071","TIME072","TIME073","TIME074","TIME075","TIME076","TIME077","TIME078","TIME079","TIME080","TIME081","TIME082","TIME083","TIME084","TIME085","TIME086","TIME087","TIME_SUM","LASTDATA","LASTPAGE","MISSING","MISSREL","TIME_RSI"
940,"06.12.2023 17:16",1,2,2,2,2,3,1,1,3,2,1,1,2,2,2,3,3,50,54,27,24,62,41,37,46,18,16,10,38,19,55,45,66,64,21,2,36,31,9,47,28,13,23,65,58,12,67,14,56,48,61,3,34,15,40,1,49,30,11,7,43,4,57,59,17,52,25,60,39,33,63,29,6,26,53,8,51,20,44,22,5,32,42,35,1,0,0,22,2,4,1,2,1,6,7,8,20,23,85,65,12,21,21,30,20,17,23,9,6,23,7,26,23,35,37,7,43,30,56,17,46,11,3,19,10,15,10,20,21,15,4,16,17,18,9,35,23,70,24,37,6,3,34,21,15,23,12,21,21,35,13,23,3,62,16,20,18,64,10,12,8,61,7,6,6,4,7,8,3,3,5,5,5,5,5,6,5,6,29,119,25,48,11,86,43,127,247,2,58,2,29,1,2,1,7,2,1,1,2,1,2,3,1,1,1,1,2,1,1,108,1,2,1,7,1,1,2,1,3,3,1,1,2,1,1,1,1,4,1,9,3,1,1,4,1,0,2,1,8,6,1,1,1,2,1,4,6,1,1,6,1,3,1,2,1,1,1,1,36,13,1024,"06.12.2023 17:35",87,1,0,2.35
941,"06.12.2023 17:16",1,2,3,3,5,2,2,1,2,2,3,1,1,4,1,1,3,63,41,31,11,17,56,49,57,65,8,24,62,48,67,14,10,32,47,54,5,22,23,45,35,1,6,2,46,28,50,16,44,21,13,53,66,40,36,19,30,38,64,39,52,61,55,58,60,25,12,9,27,33,43,18,29,15,7,51,26,37,42,4,20,3,34,59,0,0,0,19,2,4,1,2,1,9,7,51,5,6,1,11,14,1,8,52,101,9,5,101,101,101,84,97,97,86,101,101,101,91,8,49,16,23,3,64,1,6,1,90,97,101,92,97,92,91,97,67,30,14,8,6,94,90,96,96,99,101,101,95,98,49,97,91,1,101,96,101,101,97,101,101,94,96,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,40,37,12375,155,91,15,158,27,28,32,30,20,17,59,16,13,21,11,18,13,13,19,21,22,33,8,11,25,14,44,13,15,13,10,17,15,16,13,49,56,21,22,24,9,16,16,26,21,27,9,7,18,20,15,27,19,42,14,16,13,25,18,10,17,11,13,6,10,19,22,7,8,9,18,12,7,19,12,14,11,24,34,58,1932,"06.12.2023 21:16",87,1,0,0.48
943,"06.12.2023 17:16",1,4,1,2,4,3,4,2,4,5,3,1,1,4,2,4,1,24,10,34,26,59,29,66,55,57,47,49,43,32,45,67,60,1,13,28,22,12,54,4,5,37,27,38,52,65,50,53,62,56,46,6,14,21,7,18,64,48,33,11,3,36,30,58,20,2,15,39,19,41,17,61,9,8,25,40,63,16,44,35,42,31,51,23,0,1,0,19,2,4,1,2,1,4,6,6,1,1,5,90,22,1,1,86,96,1,1,101,101,101,101,86,99,101,101,97,101,100,95,52,1,10,1,4,2,1,1,71,92,97,101,101,96,100,100,101,1,10,13,1,83,91,101,94,97,101,97,101,101,19,3,13,1,95,101,97,101,100,101,101,101,95,1,9,9,5,5,9,6,5,4,9,5,9,5,1,1,9968,35,106,145,166,13,297,106,17,101,63,25,17,93,23,11,7,7,7,14,10,5,25,19,27,12,5,5,9,18,50,5,13,11,8,13,12,16,7,11,14,14,11,6,5,10,21,11,11,5,7,24,7,10,12,6,26,13,8,15,8,6,21,6,10,4,17,24,38,10,11,15,15,15,20,5,9,12,7,15,5,41,32,2089,"06.12.2023 20:38",87,1,0,0.61
950,"06.12.2023 17:16",1,4,2,3,4,2,1,5,3,4,5,4,2,5,1,5,4,53,56,66,35,8,61,47,39,12,38,65,30,26,49,55,18,14,54,7,9,43,32,1,31,60,62,50,10,3,33,28,64,46,27,63,6,40,16,42,23,19,11,51,4,2,59,20,36,41,15,17,45,58,5,48,21,44,57,29,52,67,22,37,34,24,25,13,0,0,1,20,2,4,1,2,1,1,1,62,10,7,1,1,39,6,4,52,101,58,20,91,101,98,101,101,96,101,101,99,93,101,101,56,56,59,51,51,55,54,1,65,101,93,101,96,101,89,90,49,1,93,1,1,4,1,100,91,101,101,100,101,1,8,1,13,60,10,3,100,95,96,49,101,99,101,1,9,9,5,5,9,5,5,4,7,5,6,5,3,5,10,19,94,39,29,9,114,42,20,18,51,6,16,25,3,2,4,4,3,3,2,2,4,3,2,2,2,2,2,2,2,1,3,3,3,2,19,3,3,4,3,3,5,3,2,2,3,4,2,10,2,3,2,3,4,4,3,5,7,2,6,1,2,61,2,2,2,2,3,3,2,3,3,2,8,4,3,3,6,14,3,14,15,757,"06.12.2023 17:30",87,1,0,1.99
952,"06.12.2023 17:16",1,3,4,2,4,1,4,3,3,2,3,3,2,4,4,4,2,6,62,55,15,28,32,57,61,39,33,38,13,54,2,16,11,46,66,35,58,36,9,8,53,4,40,50,65,21,29,27,14,26,1,7,60,51,67,63,22,19,25,49,59,18,3,44,17,41,12,37,31,34,42,45,47,43,5,52,48,20,10,30,56,64,23,24,1,0,0,25,2,6,1,2,1,7,3,1,1,1,1,28,1,1,1,1,22,1,1,101,101,101,51,101,77,50,18,73,27,17,1,101,22,1,1,1,1,1,1,26,76,101,101,85,101,101,101,101,1,21,1,1,28,101,101,101,101,101,101,101,101,51,1,1,1,84,101,101,101,101,101,101,101,101,1,9,9,5,1,5,1,8,1,1,9,8,8,1,8,8,26,63,75,1199640,7,167,22,51,61,14,13,11,93,11,4,3,3,10,5,3,3,4,8,3,6,4,21,6,13,5,7,7,7,4,6,11,4,19,4,4,4,6,12,7,9,11,20,13,4,12,4,3,8,5,5,3,5,7,8,9,4,5,5,4,3,3,3,6,5,3,8,3,7,4,6,6,4,2,3,2,17,35,1170,"20.12.2023 14:48",87,1,0,1.2
956,"06.12.2023 17:16",1,4,4,2,4,2,4,1,5,4,3,1,1,2,3,1,1,59,26,60,63,25,66,5,22,19,57,42,52,20,16,6,45,54,12,35,9,49,38,61,28,13,34,39,58,18,29,43,30,10,17,11,53,36,1,48,21,50,15,14,27,40,65,33,51,31,67,62,3,7,44,23,2,32,41,64,55,47,24,4,46,37,56,8,1,0,0,21,2,4,1,1,1,8,8,14,14,16,10,31,15,52,1,41,91,17,14,101,82,38,90,89,26,89,92,96,89,91,19,52,14,21,89,28,17,1,13,25,80,101,90,88,101,94,101,92,22,25,19,22,91,19,90,86,93,88,101,1,91,55,1,21,11,92,88,101,89,101,52,89,91,74,1,9,9,4,5,9,6,5,4,7,5,8,5,3,3,4,2465,58,113,105,11,116,36,106,9,13,9,15,34,9,9,3,6,15,6,7,5,16,4,6,5,10,14,14,10,4,13,12,30,7,6,5,9,23,7,12,6,8,14,10,11,14,12,14,7,6,7,5,5,7,10,7,5,5,7,10,6,8,5,5,11,14,5,14,17,5,8,5,10,13,10,11,4,14,6,41,13,27,1305,"06.12.2023 18:19",87,1,0,0.88
965,"06.12.2023 17:16",1,4,3,3,4,3,4,3,4,4,3,2,1,2,3,4,2,44,31,53,5,66,49,16,19,47,60,27,22,54,36,43,11,17,2,18,58,24,45,9,62,34,37,57,39,59,67,40,10,28,26,33,38,20,46,25,41,29,55,64,65,3,32,52,48,21,42,7,35,15,51,6,12,14,56,13,63,1,8,50,30,23,61,4,0,0,0,18,2,4,1,2,1,2,3,55,101,31,10,76,66,1,1,80,93,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,76,29,14,61,62,101,1,74,64,101,101,101,92,101,101,101,67,66,67,1,87,65,101,101,101,92,101,101,62,51,1,84,1,16,1,101,101,101,85,101,101,101,1,9,9,1,1,9,9,9,1,9,9,9,9,1,1,24,30,86,85,95,16,172,30,27,72,28,10,11,47,16,51,8,9,10,10,7,6,13,18,16,3,4,4,5,6,6,5,4,13,5,4,8,4,5,13,7,46,35,23,8,4,11,10,3,5,5,49,4,10,6,8,8,11,4,9,41,4,5,6,63,5,13,17,12,8,12,4,49,9,10,8,5,12,172,7,14,29,46,1408,"06.12.2023 17:46",87,1,0,0.81
984,"06.12.2023 17:16",1,4,5,4,3,2,1,2,4,2,4,3,1,2,4,4,2,37,29,47,8,49,35,32,11,60,22,51,62,44,25,43,16,63,17,45,52,12,67,38,55,66,2,41,13,23,53,40,20,1,57,65,24,54,18,36,33,30,34,59,56,31,4,3,28,6,14,58,7,19,21,42,50,39,15,5,48,64,9,27,61,10,26,46,0,0,0,26,2,4,1,2,1,9,5,1,20,1,14,76,1,1,1,86,78,24,23,101,101,101,79,101,101,101,101,81,101,100,87,56,31,23,65,83,1,1,1,75,78,83,101,62,87,101,101,51,83,14,18,1,101,101,99,101,101,101,60,91,53,52,1,1,1,82,86,101,101,101,101,101,101,52,1,9,9,6,5,9,4,5,2,7,7,9,7,1,4,2994,16,58,98,93,8,107,25,44,83,52,17,10,81,31,10,11,20,27,22,7,18,14,12,10,11,4,5,3,15,4,7,6,5,10,5,8,6,12,95,14,27,16,20,5,6,97,18,6,5,5,6,6,6,30,10,7,11,5,22,70,3,12,9,6,13,3,12,18,27,10,14,13,12,11,18,10,7,4,10,22,116,20,1609,"06.12.2023 18:37",87,0,0,0.72
986,"06.12.2023 17:17",1,4,4,4,5,2,5,3,3,4,4,3,3,4,3,3,4,2,25,5,39,42,13,30,57,33,36,34,51,52,54,61,45,22,29,17,43,12,6,11,62,28,21,41,24,10,4,65,48,44,37,32,63,55,7,15,64,8,56,3,59,27,18,67,47,40,14,16,35,26,66,23,20,50,9,1,31,60,19,49,53,58,46,38,1,0,0,19,1,4,2,1,1,7,7,10,13,36,74,89,6,11,74,89,17,87,79,82,70,81,74,12,13,5,79,1,85,85,78,35,11,81,24,54,17,74,85,90,33,78,76,72,73,12,76,56,74,9,81,19,26,78,52,78,63,34,66,79,75,46,18,86,48,14,7,75,18,74,72,86,68,81,6,2,5,6,5,5,7,7,7,6,6,6,6,6,8,3,36,63,74,33,16,124,7,127,251,2,54,2,25,7,11,3,31,8,2,2,2,1,2,2,3,1,2,2,2,3,2,4,2,6,5,68,2,10,3,2,4,4,7,2,1,2,4,2,2,2,10,41,2,5,2,4,2,4,2,3,2,2,8,2,2,3,2,2,3,2,5,159,38,2,4,2,2,1,2,3,17,30,1121,"06.12.2023 17:40",87,1,0,1.95
987,"06.12.2023 17:17",1,2,2,4,4,4,1,1,4,1,4,1,2,5,1,1,1,42,60,31,27,39,17,32,59,23,16,35,3,1,19,34,44,40,24,65,66,8,15,13,63,21,26,50,51,25,12,56,11,36,5,38,7,18,45,41,46,62,10,28,47,43,48,2,33,20,30,4,49,57,14,22,54,53,6,9,29,61,64,37,58,55,67,52,0,0,0,22,2,4,1,2,1,7,5,88,1,18,1,9,1,16,1,1,1,8,1,49,101,75,8,8,1,98,2,101,101,101,1,53,1,83,14,1,1,3,1,1,101,10,101,101,81,8,80,1,1,101,13,83,6,97,86,96,80,101,84,96,2,50,11,1,99,101,47,101,89,2,96,100,91,83,1,9,9,4,3,9,6,8,4,8,5,7,5,3,2,2443,20,71,103,141,20,109,33,19,46,21,14,23,51,5,6,9,5,5,7,5,5,11,6,7,20,34,5,8,19,7,15,5,7,9,4,7,5,6,20,4,6,9,11,7,8,24,15,5,6,6,8,4,4,5,19,7,6,5,4,20,5,4,12,23,5,6,6,13,6,12,6,26,5,4,6,11,7,6,8,19,23,33,1331,"06.12.2023 18:20",87,1,0,0.86
988,"06.12.2023 17:17",1,4,5,1,2,2,1,4,2,4,5,4,2,2,2,4,5,5,30,60,36,9,19,4,33,31,63,57,67,25,16,37,43,49,7,51,24,18,52,13,23,12,56,46,15,26,39,42,22,40,65,41,3,10,1,29,54,8,62,32,61,59,50,44,2,28,27,11,38,14,34,64,45,53,21,48,6,55,58,17,35,47,66,20,0,0,0,22,3,4,1,1,1,9,6,1,1,1,1,1,1,1,1,1,1,1,1,101,101,101,48,101,84,28,1,101,24,1,1,53,1,1,1,1,1,1,1,8,79,101,101,81,101,101,94,85,1,16,1,1,74,95,101,101,101,101,101,101,101,50,1,1,1,101,101,101,101,101,101,101,101,101,1,9,9,9,1,1,1,9,1,1,9,9,9,1,9,6631,16,66,29,18,7,111,26,14,51,16,14,11,32,7,3,2,4,7,10,7,2,4,4,3,3,4,5,6,6,5,8,6,7,4,6,9,4,8,5,4,4,4,5,7,2,6,5,6,9,20,15,3,7,7,4,7,5,3,9,7,14,6,4,6,3,8,4,5,4,3,4,3,8,4,5,7,2,3,4,6,23,27,860,"06.12.2023 19:21",87,1,0,1.31
989,"06.12.2023 17:17",1,3,1,2,4,2,2,4,5,3,1,2,1,4,1,5,2,47,3,9,14,4,51,54,66,20,19,67,26,62,52,45,55,48,16,44,10,17,29,33,13,28,2,18,22,65,30,32,64,34,60,63,21,25,46,53,6,31,61,59,49,8,1,57,12,56,40,35,41,27,15,43,50,42,24,5,58,36,39,38,11,23,7,37,0,0,0,21,2,4,1,2,1,4,4,23,33,28,29,72,75,19,1,95,99,85,100,94,97,100,101,97,101,97,99,99,101,101,101,97,101,97,99,29,10,19,1,96,101,101,99,99,101,101,99,96,4,4,1,3,1,88,101,101,101,97,101,100,101,13,1,5,6,1,91,97,96,96,49,101,101,97,1,9,9,4,5,9,6,9,3,7,5,8,5,3,3,7,38,75,62,102,11,129,59,16,42,34,16,18,44,3,9,4,4,9,6,4,5,8,5,22,25,3,3,3,3,4,4,3,3,3,3,6,4,4,8,3,4,5,6,4,9,10,9,4,4,4,4,3,8,4,13,5,10,4,21,20,5,6,5,4,5,4,11,3,4,25,4,3,7,3,4,3,7,3,6,4,23,24,1128,"06.12.2023 17:35",87,1,0,1.22
991,"06.12.2023 17:17",1,2,2,2,3,2,2,2,2,2,3,3,3,2,2,2,2,61,4,57,41,19,55,36,6,46,67,59,24,31,58,32,13,27,64,65,60,11,17,9,3,15,44,29,40,23,35,14,62,5,10,52,38,25,66,1,48,28,43,53,37,50,39,21,22,47,51,18,8,45,26,2,33,20,56,12,30,34,16,49,7,42,54,63,1,0,0,20,2,4,1,2,1,8,6,18,18,19,23,7,12,39,88,21,20,16,30,27,15,19,9,52,18,13,19,5,26,55,3,11,17,41,17,5,26,4,25,82,57,15,23,74,24,6,16,49,5,13,25,20,2,3,8,26,18,4,83,15,66,20,21,3,20,7,35,14,16,31,87,42,15,29,8,5,7,7,7,8,4,3,4,4,4,3,3,3,3,21,97,14,36,36,15,114,3,145,251,20,35,2,22,2,6,1,7,0,1,1,3,1,1,2,4,1,1,1,1,0,1,3,2,79,2,6,6,2,1,1,1,2,1,1,2,9,5,2,1,1,1,160,1,1,2,1,1,1,1,1,1,2,1,1,6,2,1,3,2,1,2,1,0,1,3,1,4,1,1,16,52,1556,1045,"06.12.2023 18:03",87,1,0,2.29
992,"06.12.2023 17:17",1,3,4,4,5,3,1,1,2,1,3,2,2,5,4,4,2,47,29,32,43,49,12,34,53,46,36,48,44,42,59,57,16,1,19,51,61,5,64,38,55,20,17,33,8,67,56,26,13,22,39,45,21,58,4,25,6,3,41,14,15,37,62,30,63,9,50,27,24,11,54,40,18,65,7,66,31,60,2,35,52,28,23,10,0,0,1,19,2,4,1,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,2,9,9,6,3,9,3,9,1,1,9,9,8,3,1,5,18,55,406,1064,155,140,171,22,168,36,14,47,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1350,"06.12.2023 17:58",56,0,0,0.69
1003,"06.12.2023 17:17",1,3,5,4,1,2,2,3,5,3,5,1,3,5,2,1,2,3,10,19,9,62,32,11,65,8,40,13,31,22,45,5,15,55,63,36,61,43,7,34,48,1,46,16,49,47,53,58,17,37,67,44,38,25,23,4,2,56,39,26,12,42,60,50,66,24,18,51,33,54,64,21,30,27,41,35,29,57,28,6,20,59,52,14,1,1,0,21,1,4,1,1,1,5,3,1,1,1,1,71,1,1,1,53,101,50,1,101,101,101,1,100,101,101,101,101,4,101,13,52,22,1,37,22,1,1,1,28,101,101,101,101,101,1,13,101,51,99,1,1,86,101,101,99,99,100,96,1,38,1,50,1,1,1,101,101,51,100,101,101,1,53,1,9,9,9,1,1,1,5,4,2,7,9,9,1,7,5214,19,80,67,95,19,154,37,54,122,54,20,21,96,11,12,4,14,8,12,6,4,12,11,17,13,4,4,10,14,8,4,5,17,9,6,5,9,66,10,13,14,14,7,4,7,18,4,6,7,7,7,21,14,7,9,12,11,7,10,9,6,6,8,5,10,9,14,7,25,7,7,8,4,6,14,11,13,4,8,13,17,62,1564,"06.12.2023 19:10",87,1,0,0.74
1009,"06.12.2023 17:17",1,4,2,3,5,2,3,2,4,3,4,2,1,3,2,2,2,30,41,63,2,14,26,65,7,56,58,13,23,59,22,6,64,1,31,42,60,62,50,16,21,52,25,20,57,37,40,5,17,27,67,29,54,46,38,24,39,11,4,8,3,47,49,28,19,48,45,33,34,36,10,53,55,44,9,51,43,35,12,32,15,18,66,61,0,0,0,19,2,4,1,2,1,7,4,52,1,10,1,24,51,1,1,93,20,89,1,101,101,101,1,101,87,51,17,91,49,101,101,51,52,101,82,1,1,1,1,51,92,101,101,93,93,101,94,1,87,92,21,1,30,51,101,101,101,85,88,101,1,51,1,1,101,82,84,91,101,101,50,101,79,95,1,9,9,4,5,9,6,5,4,9,5,8,5,3,1,6,15,96,60,95,16,89,74,12,22,30,44,11,81,5,10,5,5,29,7,5,5,33,7,24,3,4,2,26,13,31,7,7,8,6,14,3,2,24,5,40,13,5,8,6,4,5,11,11,4,17,49,3,9,2,16,7,10,7,21,9,3,4,3,8,22,9,3,6,8,27,3,6,9,3,8,6,7,3,7,22,10,24,1295,"06.12.2023 17:40",87,1,0,1.04
1020,"06.12.2023 17:17",1,2,5,4,3,3,2,1,5,1,1,1,2,4,5,3,1,59,31,47,48,28,37,65,32,19,30,53,20,35,44,60,24,12,45,51,25,27,67,58,16,8,54,22,64,50,11,1,62,42,49,66,21,13,34,57,10,39,41,14,6,4,63,2,33,61,18,36,38,3,9,26,46,40,5,52,7,29,43,17,15,56,55,23,0,0,1,23,3,4,1,1,1,8,1,32,1,2,4,101,1,2,1,101,101,25,1,101,101,101,101,101,101,101,101,101,101,101,101,53,28,51,37,34,1,1,2,89,91,101,101,101,101,101,101,52,23,101,1,1,66,101,101,101,101,101,101,101,51,52,18,1,1,87,101,101,101,101,101,101,101,51,1,9,9,5,3,8,7,3,1,9,5,9,5,1,1,229,27,74,379,374,7,330,103,45,26,31,38,159,113,9,12,22,6,54,21,52,6,13,12,8,9,7,7,5,8,7,6,8,7,11,6,5,85,12,6,10,71,13,27,72,7,12,16,8,6,8,150,5,9,118,27,28,22,11,30,60,6,4,8,4,5,10,10,9,13,111,11,37,21,7,6,7,11,8,9,7,91,78,2451,"06.12.2023 18:16",87,0,0,0.59
1023,"06.12.2023 17:17",1,2,1,5,5,5,2,2,3,1,4,1,1,5,3,1,1,50,53,9,7,34,51,38,63,52,15,12,29,39,30,55,44,1,3,48,23,61,59,45,56,26,47,54,62,35,16,33,27,67,37,2,36,49,60,14,8,40,4,24,11,64,42,66,19,65,46,10,25,18,43,17,5,20,57,31,21,6,58,41,13,32,28,22,0,1,0,21,1,4,1,2,1,8,1,53,1,1,1,101,53,101,1,101,101,101,1,101,101,101,101,101,101,101,101,101,101,101,101,49,53,101,53,52,1,1,1,101,101,101,101,101,101,101,101,53,101,1,1,1,101,101,101,101,101,101,1,101,101,51,1,1,1,101,101,101,101,101,101,101,101,93,1,8,3,6,6,9,4,5,4,7,5,6,5,6,2,4,18,65,59,52,8,146,13,19,5,59,134,12,2003,4,4,1,3,2,6,1,11,2,1,3,2,1,1,3,1,14,1,1,2,1,1,1,1,3,4,2,5,4,2,1,4,2,2,2,3,1,2,2,2,5,3,1,2,1,2,1,1,2,1,2,3,2,1,5,1,2,2,2,11,2,1,3,1,6,1,1,27,27,754,"06.12.2023 18:04",87,1,0,2.25
1027,"06.12.2023 17:17",1,1,1,2,2,5,1,3,3,1,1,1,1,5,1,1,3,3,9,63,2,33,18,66,67,32,26,65,36,16,64,14,19,12,51,44,17,56,49,28,50,42,30,25,24,52,27,47,46,55,54,60,61,11,37,22,45,43,1,35,40,21,5,48,57,23,31,39,13,10,38,7,29,62,15,58,8,41,4,20,59,34,6,53,0,1,1,47,2,7,1,2,1,8,7,52,52,51,49,49,53,53,53,52,53,48,53,53,50,50,53,51,54,57,52,48,50,52,47,50,51,51,50,50,52,50,53,53,52,51,50,49,49,52,54,50,50,53,57,52,52,52,56,48,54,53,52,50,50,48,53,49,52,52,53,48,52,50,52,49,53,49,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,38,2388,124,149,127,15,273,64,83,72,266,9,49,60,8,3,2,11,5,2,2,3,3,4,2,2,3,2,2,3,3,4,3,2,2,2,2,2,2,2,2,3,2,2,4,2,2,3,2,2,2,3,2,2,2,14,2,2,3,5,2,3,4,2,2,3,3,2,12,2,2,2,2,4,2,5,2,2,2,8,2,10,46,1378,"06.12.2023 18:23",87,1,0,1.98
1028,"06.12.2023 17:17",1,4,1,2,2,1,1,3,2,5,3,3,4,2,1,3,2,11,58,24,38,64,30,4,26,62,31,33,23,56,17,32,53,35,57,67,39,59,63,15,20,14,65,3,28,45,36,16,1,48,41,21,46,34,55,13,5,22,2,6,60,42,40,7,25,44,47,18,50,19,52,51,29,9,43,37,66,10,54,49,27,61,8,12,0,0,2,22,2,4,1,2,1,5,1,11,17,5,8,75,5,8,100,96,10,10,1,17,100,9,94,101,95,90,6,84,8,14,101,97,89,97,5,10,16,14,72,7,17,96,100,101,57,85,94,94,80,5,91,12,17,26,100,101,101,9,99,101,99,14,7,97,7,16,20,94,83,101,53,86,96,89,1,8,8,4,3,6,4,3,6,4,4,5,5,5,5,2422,38,26,62,17,18,286,4,44,4,24,4,15,7,2,1,2,8,3,6,3,4,2,2,2,2,1,2,4,1,2,1,1,5,1,1,3,2,2,3,5,3,2,2,3,9,2,2,4,1,3,1,2,5,2,5,3,1,2,2,3,2,2,2,3,1,2,2,1,4,2,1,15,2,5,1,2,4,1,2,5,19,22,795,"06.12.2023 18:10",87,1,0,2.22
1032,"06.12.2023 17:17",1,3,5,2,2,4,2,3,4,2,4,3,3,2,2,4,2,62,6,42,26,66,19,23,49,27,25,10,21,12,44,18,1,15,63,2,47,53,48,32,8,13,3,4,43,54,65,20,46,35,50,22,45,37,31,14,67,39,7,24,64,60,38,11,33,59,61,58,5,51,16,28,34,56,57,9,36,30,40,29,55,17,52,41,0,0,0,20,2,4,1,2,1,8,6,11,8,14,12,7,99,8,9,85,95,84,7,95,94,94,89,97,101,88,94,94,99,92,16,96,87,83,87,14,17,8,10,92,95,96,91,92,91,97,100,86,83,9,14,3,92,83,96,101,101,101,63,96,95,16,17,14,2,91,89,101,95,98,99,94,86,89,1,9,9,5,5,9,6,5,3,5,5,9,5,1,3,11,65,80,60,90,9,195,44,20,39,53,4,30,221,13,75,3,2,16,5,4,3,2,3,11,6,8,3,2,32,3,3,10,2,2,2,3,39,4,26,19,16,7,6,3,3,4,25,2,2,2,4,3,3,2,12,2,17,5,4,14,3,3,3,4,20,2,3,7,6,5,3,15,9,4,2,4,4,3,3,4,99,79,1541,"06.12.2023 17:45",87,1,0,1.38
1033,"06.12.2023 17:17",1,4,2,3,5,2,1,4,5,4,3,2,1,4,4,4,2,16,27,47,2,49,7,63,12,17,4,54,43,15,29,66,10,3,23,18,51,45,67,6,55,8,25,62,24,21,11,42,44,1,48,37,30,41,36,28,58,56,61,46,64,60,31,22,52,26,40,20,32,65,19,9,14,34,33,57,50,59,35,39,13,38,53,5,0,0,0,20,2,4,1,2,1,6,6,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,35,101,101,101,101,101,101,101,1,1,1,1,1,1,101,101,101,53,101,101,101,1,8,9,5,5,9,6,5,4,7,5,8,5,3,3,5927,18,62,68,57,11,113,55,12,121,19,23,12,61,4,3,2,10,3,4,4,3,3,7,3,4,3,3,4,5,5,3,3,3,2,11,10,3,3,3,4,6,5,6,2,3,45,3,2,3,3,4,3,2,2,3,4,4,3,2,5,4,3,2,3,3,2,3,9,4,2,3,3,3,2,3,3,6,2,3,4,26,59,1027,"06.12.2023 19:13",87,1,0,1.64
