#,Subdiscipline,Authors,Title,Year,Type,Journal,Publisher,GScholar_Citations,Link,Exists
138,Educational Psychology,"McCombs, B. L.",Learning and motivation strategies: Your guide to success,1994,Book,,American Psychological Association,,,No
139,Educational Psychology,"Pintrich, P. R.","Multiple goals, multiple pathways: The role of goal orientation in learning and achievement",2000,Journal article,Journal of Educational Psychology,American Psychological Association,3509,https://psycnet.apa.org/buy/2000-12129-013,Yes
140,Educational Psychology,"Piaget, J.",The origins of intelligence in children,1952,Book,,International Universities Press,22415,https://psycnet.apa.org/doi/10.1037/11494-000,Yes
141,Educational Psychology,"Pressley, M., & Afflerbach, P.",Verbal protocols of reading: The nature of constructively responsive reading,1995,Book,,Lawrence Erlbaum,3090,https://psycnet.apa.org/record/1995-97198-000,Yes
142,Educational Psychology,"Schunk, D. H.",Self-efficacy and academic motivation,1991,Journal article,Educational Psychologist,Taylor & Francis,6187,https://doi.org/10.1080/00461520.1991.9653133,Yes
143,Educational Psychology,"Slavin, R. E.","Research on cooperative learning and achievement: What we know, what we need to know",1996,Journal article,Contemporary Educational Psychology,Elsevier,2957,https://psycnet.apa.org/doi/10.1006/ceps.1996.0004,Yes
144,Educational Psychology,"Snow, R. E.",Aptitude-treatment interactions in educational and occupational settings,1991,Book chapter,,,,,DK
145,Educational Psychology,"Sweller, J.","Cognitive load theory, learning difficulty, and instructional design",1994,Journal article,Learning and Instruction,Elsevier,4858,https://doi.org/10.1016/0959-4752(94)90003-5,Yes
146,Educational Psychology,"Vygotsky, L. S.",Mind in society: The development of higher psychological processes,1978,Book,,Harvard University Press,145953,https://doi.org/10.2307/j.ctvjf9vz4,Yes
147,Educational Psychology,"Weinstein, C. E., & Mayer, R. E.",The teaching of learning strategies,1986,Book chapter,,Macmillan,2290,http://hdl.handle.net/123456789/8681,Yes
148,Educational Psychology,"Wigfield, A., & Eccles, J. S.",Development of achievement motivation,2002,Book chapter,,Wiley-Blackwell,2272,https://psycnet.apa.org/record/2006-08776-015,Yes
149,Educational Psychology,"Zimmerman, B. J.",Self-regulated learning and academic achievement: An overview,1990,Journal article,Educational Psychologist,Taylor & Francis,6207,https://doi.org/10.1207/s15326985ep2501_2,Yes
150,Forensic Psychology,"Bartol, C. R., & Bartol, A. M.",Introduction to forensic psychology: Research and application (5th ed.),2020,Book,,SAGE Publishing,341,https://us.sagepub.com/en-us/nam/introduction-to-forensic-psychology/book270194,Yes
151,Forensic Psychology,"Turvey, B. E.",Criminal profiling: An introduction to behavioral evidence analysis,2017,Book,,Elsevier,988,https://doi.org/10.1016/C2017-0-03508-5,Yes
152,Forensic Psychology,"Loftus, E. F., & Palmer, J. C.",Reconstruction of automobile destruction: An example of the interaction between language and memory,1974,Journal article,Journal of Verbal Learning and Verbal Behavior,Elsevier,3168,https://doi.org/10.1016/S0022-5371(74)80011-3,Yes
153,Forensic Psychology,"Rogers, R., & Shuman, D. W.",Conducting insanity evaluations (2nd ed.),2000,Book,,Guilford Press,359,https://psycnet.apa.org/record/2000-07281-000,Yes
154,Forensic Psychology,"Bersoff, D. N.",Ethical conflicts in forensic psychology: Are we ready for a broader view of our ethical responsibilities?,1999,Journal article,Professional Psychology: Research and Practice,American Psychological Association,,,No
155,Forensic Psychology,"Monahan, J.",Predicting violent behavior: An assessment of clinical techniques,1981,Book,,SAGE Publishing,1182,https://www.ojp.gov/ncjrs/virtual-library/abstracts/predicting-violent-behavior-assessment-clinical-techniques,Yes
156,Forensic Psychology,"Quinsey, V. L., Harris, G. T., Rice, M. E., & Cormier, C. A.",Violent offenders: Appraising and managing risk (2nd ed.),1998,Book,,American Psychological Association,3483,https://psycnet.apa.org/doi/10.1037/11367-000,Yes
157,Forensic Psychology,"Hare, R. D.",The Hare Psychopathy Checklist-Revised (2nd ed.),2003,Book,,Multi-Health Systems,7920,https://philpapers.org/rec/HARMFT,Yes
158,Forensic Psychology,"Swanson, J. W., Swartz, M. S., Van Dorn, R. A., Elbogen, E. B., Wagner, H. R., & Rosenheck, R. A.",A national study of violent behavior in persons with schizophrenia,2006,Journal article,Archives of General Psychiatry,American Medical Association,942,https://doi.org/10.1001/archpsyc.63.5.490,Yes
159,Forensic Psychology,"Kassin, S. M., & Gudjonsson, G. H.",The psychology of confessions: A review of the literature and issues,2004,Journal article,Psychological Science in the Public Interest,SAGE Publishing,875,https://psycnet.apa.org/doi/10.1111/j.1529-1006.2004.00016.x,Yes
160,Forensic Psychology,"Redlich, A. D., Kulish, V., Steadman, H. J., & Petrila, J.",The accuracy of mental retardation diagnoses in death penalty cases,2010,Journal article,Journal of the American Academy of Psychiatry and the Law,American Academy of Psychiatry and the Law,,,No
161,Forensic Psychology,"Leo, R. A.",Inside the interrogation room,1996,Journal article,Journal of Criminal Law and Criminology,Northwestern Pritzker School of Law,941,https://heinonline.org/HOL/LandingPage?handle=hein.journals/jclc86&div=27&id=&page=,Yes
162,Forensic Psychology,"Ganis, G., Kiehl, K. A., & Kiehl, K. A.",Brain imaging in forensic science: The promise and pitfalls,2011,Journal article,Nature Reviews Neuroscience,Springer Nature,,,No
163,Forensic Psychology,"Raine, A.",The anatomy of violence: The biological roots of crime,2013,Book,,Penguin Random House,894,https://www.penguin.co.uk/books/177186/the-anatomy-of-violence-by-raine-adrian/9780141046860,Yes
164,Forensic Psychology,"Baskin-Sommers, A. R., & Krusemark, E. A.","The Intersection of psychology, neuroscience, and law: Insights from psychopathy",2021,Journal article,Annual Review of Psychology,Annual Reviews,,,No
165,Forensic Psychology,"Farrington, D. P., & Loeber, R.",Some benefits of dichotomization in psychiatric and criminological research,2000,Journal article,Criminal Behaviour and Mental Health,Wiley-Blackwell,608,https://doi.org/10.1002/cbm.349,Yes
166,Forensic Psychology,"Sattler, D. N., & Ryan, J. J.",Assessment of children: Cognitive applications (5th ed.),2018,Book,,Jerome M Sattler Publisher,1961,https://psycnet.apa.org/record/2001-16748-000,Yes
167,Forensic Psychology,"Hart, S. D.",,,,,,,,No
168,Forensic Psychology,"Cale, E. M., & Lilienfeld, S. O.",Sex offender treatment programs in correctional settings: A review of the literature,2002,Journal article,Aggression and Violent Behavior,Elsevier,,,No
169,Forensic Psychology,"Ogloff, J. R. P., & Lyon, D. R.","Psychology, law, and legal processes in Australia",2015,Book,,Oxford University Press,,,No
170,Forensic Psychology,"Gudjonsson, G. H.",The psychology of interrogations and confessions: A handbook,1992,Book,,Wiley-Blackwell,1568,https://www.wiley.com/en-us/The+Psychology+of+Interrogations+and+Confessions:+A+Handbook-p-9780470844618,Yes
171,Forensic Psychology,"White, R. C., & Haines, J. H.",Psychology and law: An overview,2013,Book,,Oxford University Press,,,No
172,Forensic Psychology,"Pinizzotto, A. J., & Finkel, N. J.",Criminal personality profiling: An outcome and process study,1990,Journal article,Law and Human Behavior,Springer Nature,295,https://doi.org/10.1007/BF01352750,Yes
173,Forensic Psychology,"Graham, J. R., Reid, C. A., & Allison, S.",The juvenile sex offender: Part II,1999,Journal article,Sexual abuse: A journal of research and treatment,SAGE Publishing,,,No
174,Forensic Psychology,"Douglas, J. E., Burgess, A. W., Burgess, A. G., & Ressler, R. K.",Crime classification manual: A standard system for investigating and classifying violent crimes (3rd ed.),2013,Book,,Wiley-Blackwell,1446,https://www.wiley.com/en-us/Crime+Classification+Manual%3A+A+Standard+System+for+Investigating+and+Classifying+Violent+Crime%2C+3rd+Edition-p-9781118421536,Yes
175,Industrial-Organizational Psychology,"Bakker, A. B., Demerouti, E., & Schaufeli, W. B.",The crossover of burnout and work engagement among working couples,2005,Journal article,Human Relations,SAGE Publishing,835,https://doi.org/10.1177/0018726705055967,Yes
176,Industrial-Organizational Psychology,"Bakker, A. B., & Demerouti, E.",The job demands-resources model: State of the art,2007,Journal article,Journal of Managerial Psychology,Emerald Group Publishing,14184,https://doi.org/10.1108/02683940710733115,Yes
177,Industrial-Organizational Psychology,"Bass, B. M., & Riggio, R. E.",Transformational leadership (2nd ed.),2006,Book,,Routledge,16768,https://doi.org/10.4324/9781410617095,Yes
178,Industrial-Organizational Psychology,"Cox, T.","Cultural diversity in organizations: Theory, research, and practice",1994,Book,,Berrett-Koehler Publishers,5154,https://www.penguinrandomhouse.com/books/575230/cultural-diversity-in-organizations-by-taylor-cox-jr/,Yes
179,Industrial-Organizational Psychology,"Goffin, R. D., & Rothstein, M. G.",Increasing the relevance and practical impact of I-O research through stronger partnerships with practice,2016,Journal article,Industrial and Organizational Psychology,Wiley-Blackwell,,,No
180,Industrial-Organizational Psychology,"Harrison, D. A., & Klein, K. J.","What's the difference? Diversity constructs as separation, variety, or disparity in organizations",2007,Journal article,Academy of Management Review,Academy of Management,3859,https://doi.org/10.5465/amr.2007.26586096,Yes
181,Industrial-Organizational Psychology,"Schneider, B., Hanges, P. J., Smith, D. B., & Salvaggio, A. N.",Which comes first: Employee attitudes or organizational financial and market performance?,2003,Journal article,Journal of Applied Psychology,American Psychological Association,863,https://psycnet.apa.org/doi/10.1037/0021-9010.88.5.836,Yes
182,Industrial-Organizational Psychology,"Spector, P. E.",Industrial and organizational psychology: Research and practice (6th ed.),2012,Book,,Wiley-Blackwell,2723,"https://www.wiley.com/en-sg/Industrial+and+Organizational+Psychology:+Research+and+Practice,+6th+Edition+International+Student+Version-p-9781118379592",Yes
183,Industrial-Organizational Psychology,"Schmidt, F. L., & Hunter, J. E.",The validity and utility of selection methods in personnel psychology: Practical and theoretical implications of 85 years of research findings,1998,Journal article,Psychological Bulletin,American Psychological Association,6643,https://psycnet.apa.org/doi/10.1037/0033-2909.124.2.262,Yes
184,Industrial-Organizational Psychology,"Tett, R. P., Jackson, D. N., & Rothstein, M.",Personality measures as predictors of job performance: A meta-analytic review,1991,Journal article,Personnel Psychology,Wiley-Blackwell,2857,https://doi.org/10.1111/j.1744-6570.1991.tb00696.x,Yes
185,Industrial-Organizational Psychology,"Van Vianen, A. E.",Person-organization fit: The match between newcomers' and recruiters' preferences for organizational cultures,2000,Journal article,Personnel Psychology,Wiley-Blackwell,780,https://doi.org/10.1111/j.1744-6570.2000.tb00196.x,Yes
186,Industrial-Organizational Psychology,"Kristof-Brown, A. L., Zimmerman, R. D., & Johnson, E. C.","Consequences of individuals' fit at work: A meta-analysis of person-job, person-organization, person-group, and person-supervisor fit",2005,Journal article,Personnel Psychology,Wiley-Blackwell,7046,https://doi.org/10.1111/j.1744-6570.2005.00672.x,Yes
187,Industrial-Organizational Psychology,"Barrick, M. R., & Mount, M. K.",The Big Five personality dimensions and job performance: A meta-analysis,1991,Journal article,Personnel Psychology,Wiley-Blackwell,15086,https://doi.org/10.1111/j.1744-6570.1991.tb00688.x,Yes
188,Industrial-Organizational Psychology,"Judge, T. A., & Bono, J. E.","Relationship of core self-evaluations traits--self-esteem, generalized self-efficacy, locus of control, and emotional stability--with job satisfaction and job performance: A meta-analysis",2001,Journal article,Journal of Applied Psychology,American Psychological Association,5776,https://psycnet.apa.org/buy/2001-16970-007,Yes
189,Industrial-Organizational Psychology,"Borman, W. C., & Motowidlo, S. J.",Task performance and contextual performance: The meaning for personnel selection research,1997,Journal article,Human Performance,Taylor & Francis,3764,https://doi.org/10.1207/s15327043hup1002_3,Yes
190,Industrial-Organizational Psychology,"LePine, J. A., Podsakoff",,,,,,,,No
191,Industrial-Organizational Psychology,"Organ, D. W.",Organizational citizenship behavior: The good soldier syndrome,1988,Book,,Rowman & Littlefield,16013,https://psycnet.apa.org/record/1988-97376-000,Yes
192,Industrial-Organizational Psychology,"Podsakoff, P. M., MacKenzie, S. B., Paine, J. B., & Bachrach, D. G.",Organizational citizenship behaviors: A critical review of the theoretical and empirical literature and suggestions for future research,2000,Journal article,Journal of Management,SAGE Publishing,9942,https://doi.org/10.1177/014920630002600307,Yes
193,Industrial-Organizational Psychology,"Colquitt, J. A., Scott, B. A., & LePine, J. A.","Trust, trustworthiness, and trust propensity: A meta-analytic test of their unique relationships with risk taking and job performance",2007,Journal article,Journal of Applied Psychology,American Psychological Association,3477,https://psycnet.apa.org/doi/10.1037/0021-9010.92.4.909,Yes
194,Industrial-Organizational Psychology,"Hirschfeld, R. R., & Feild, H. S.",Work centrality and work alienation: Distinct aspects of a general commitment to work,2000,Journal article,Journal of Organizational Behavior,Wiley-Blackwell,591,https://doi.org/10.1002/1099-1379(200011)21:7%3C789::AID-JOB59%3E3.0.CO;2-W,Yes
195,Industrial-Organizational Psychology,"Meyer, J. P., & Allen, N. J.",A three-component conceptualization of organizational commitment,1991,Journal article,Human Resource Management Review,Elsevier,21211,https://doi.org/10.1016/1053-4822(91)90011-Z,Yes
196,Industrial-Organizational Psychology,"Warr, P.",The measurement of well-being and other aspects of mental health,1990,Journal article,Journal of Occupational Psychology,Wiley-Blackwell,2146,https://doi.org/10.1111/j.2044-8325.1990.tb00521.x,Yes
197,Industrial-Organizational Psychology,"Brief, A. P., & Weiss, H. M.",Organizational behavior: Affect in the workplace,2002,Journal article,Annual Review of Psychology,Annual Reviews,3292,https://doi.org/10.1146/annurev.psych.53.100901.135156,Yes
198,Industrial-Organizational Psychology,"Latham, G. P., & Pinder, C. C.",Work motivation theory and research at the dawn of the twenty-first century,2005,Journal article,Annual Review of Psychology,Annual Reviews,2411,https://doi.org/10.1146/annurev.psych.55.090902.142105,Yes
199,Industrial-Organizational Psychology,"Grant, A. M., & Parker, S. K.",Redesigning work design theories: The rise of relational and proactive perspectives,2009,Journal article,Academy of Management Annals,Taylor & Francis,1565,https://doi.org/10.1080/19416520903047327,Yes
200,Health Psychology,"Barrera, T. L., Norton, P. J., & Quality of Life Group","Quality of life impairment in generalized anxiety disorder, social phobia, and panic disorder",2005,Journal article,Journal of Anxiety Disorders,Elsevier,366,https://doi.org/10.1016/j.janxdis.2009.07.011,Yes
201,Health Psychology,"Chesney, M. A., & Folkman, S.",Psychological impact of HIV disease and implications for intervention,1994,Journal article,Psychiatric Clinics of North America,Elsevier,282,https://psycnet.apa.org/record/1994-46349-001,Yes
202,Health Psychology,"Taylor, S. E.",Health psychology,2015,Book,,McGraw-Hill,266,https://www.mheducation.com/highered/product/health-psychology-taylor/M9781260253900.html,Yes
203,Health Psychology,"Carney, R. M., & Freedland, K. E.",Depression in patients with coronary heart disease,2017,Journal article,Nature Reviews Cardiology,Springer Nature,480,https://doi.org/10.1038/nrcardio.2016.181,Yes
204,Health Psychology,"Halaris, A.",Inflammation and depression: A causal or coincidental link to the pathophysiology?,2013,Journal article,Acta Psychiatrica Scandinavica,Wiley-Blackwell,,,No
205,Health Psychology,"Lichtman, J. H., Bigger Jr, J. T., Blumenthal, J. A., Frasure-Smith, N., Kaufmann, P. G., Lespérance, F., ... & Writing Committee on Depression in Coronary Artery Disease Patients","Depression and coronary heart disease: recommendations for screening, referral, and treatment: a science advisory from the American Heart Association Prevention Committee of the Council on Cardiovascular Nursing, Council on Clinical Cardiology, Council on Epidemiology and Prevention, and Interdisciplinary Council on Quality of Care and Outcomes Research: endorsed by the American Psychiatric Association",2008,Journal article,Circulation,Lippincott Williams & Wilkins,1643,https://doi.org/10.1161/CIRCULATIONAHA.108.190769,Yes
206,Health Psychology,"Boehm, J. K., & Kubzansky, L. D.",The heart's content: The association between positive psychological well-being and cardiovascular health,2012,Journal article,Psychological Bulletin,American Psychological Association,1023,https://psycnet.apa.org/doi/10.1037/a0027448,Yes
207,Health Psychology,"Tindle, H. A., Chang, Y. F., Kuller, L. H., Manson, J. E., Robinson, J. G., Rosal, M. C., ... & Matthews, K. A.","Optimism, cynical hostility, and incident coronary heart disease and mortality in the Women's Health Initiative",2012,Journal article,Circulation,Lippincott Williams & Wilkins,567,https://doi.org/10.1161/CIRCULATIONAHA.108.827642,Yes
208,Health Psychology,"Tugade, M. M., & Fredrickson, B. L.",Resilient individuals use positive emotions to bounce back from negative emotional experiences,2004,Journal article,Journal of Personality and Social Psychology,American Psychological Association,5388,https://psycnet.apa.org/doi/10.1037/0022-3514.86.2.320,Yes
209,Health Psychology,"Bandura, A.",Health promotion by social cognitive means,2004,Journal article,Health Education & Behavior,SAGE Publishing,9008,https://doi.org/10.1177/1090198104263660,Yes
210,Health Psychology,"Dweck, C. S.",Mindset: The new psychology of success,2017,Book,,Penguin Random House,16818,https://www.penguinrandomhouse.com/books/44330/mindset-by-carol-s-dweck-phd/,Yes
211,Health Psychology,"Gollwitzer, P. M., & Sheeran, P.",Implementation intentions and goal achievement: A meta-analysis of effects and processes,2006,Journal article,Advances in Experimental Social Psychology,Elsevier,3984,https://doi.org/10.1016/S0065-2601(06)38002-1,Yes
212,Health Psychology,"Michie, S., Richardson, M., Johnston, M., Abraham, C., Francis, J., Hardeman, W., ... & Wood, C. E.",The behavior change technique taxonomy (v1) of 93 hierarchically clustered techniques: Building an international consensus for the reporting of behavior change interventions,2011,Journal article,Annals of Behavioral Medicine,Oxford University Press,5570,https://doi.org/10.1007/s12160-013-9486-6,Yes
213,Health Psychology,"Prochaska, J. O., & Velicer, W",,,,,,,,No
214,Health Psychology,"Rothman, A. J., Sheeran, P., & Wood, W.",Reflective and automatic processes in the initiation and maintenance of dietary change,2009,Journal article,Annals of Behavioral Medicine,Oxford University Press,427,https://doi.org/10.1007/s12160-009-9118-3,Yes
215,Health Psychology,"Ogden, J.",Health psychology: A textbook (6th ed.),2017,Book,,McGraw-Hill,2199,https://www.mheducation.co.uk/psychology/psychology/health-psychology,Yes
216,Health Psychology,"Brown, K. W., & Ryan, R. M.",The benefits of being present: Mindfulness and its role in psychological well-being,2003,Journal article,Journal of Personality and Social Psychology,American Psychological Association,16887,https://psycnet.apa.org/doi/10.1037/0022-3514.84.4.822,Yes
217,Health Psychology,"Kabat-Zinn, J.",An outpatient program in behavioral medicine for chronic pain patients based on the practice of mindfulness meditation: Theoretical considerations and preliminary results,1982,Journal article,General Hospital Psychiatry,Elsevier,5867,https://doi.org/10.1016/0163-8343(82)90026-3,Yes
218,Health Psychology,"Burke, L. E., Wang, J., & Sevick, M. A.",Self-monitoring in weight loss: A systematic review of the literature,2011,Journal article,Journal of the American Dietetic Association,Elsevier,1465,https://doi.org/10.1016/j.jada.2010.10.008,Yes
219,Health Psychology,"Doherty, Y., & Ciliska, D.",Evidence-Informed Nursing: A Guide for Clinical Nurses,2016,Book,,Springer Nature,,,No
220,Health Psychology,"Glynn, L. G., Hayes, P. S., Casey, M., Glynn, F., Alvarez-Iglesias, A., Newell, J., ... & Murphy, A. W.",Effectiveness of a smartphone application to promote physical activity in primary care: A randomized controlled trial,2010,Journal article,Preventive Medicine,Elsevier,,,No
221,Health Psychology,"Jha, A. P., Krompinger, J., & Baime, M. J.",Mindfulness training modifies subsystems of attention,2007,Journal article,"Cognitive, Affective, & Behavioral Neuroscience",Springer Nature,2388,https://doi.org/10.3758/CABN.7.2.109,Yes
222,Health Psychology,"Lorig, K. R., Ritter, P., Stewart, A. L., Sobel, D. S., Brown Jr, B. W., Bandura, A., ... & Holman, H. R.",Chronic disease self-management program: 2-year health status and health care utilization outcomes,2001,Journal article,Medical Care,Lippincott Williams & Wilkins,1954,https://www.jstor.org/stable/3767514,Yes
223,Health Psychology,"Prochaska, J. O., & DiClemente, C. C.",Stages and processes of self-change of smoking: Toward an integrative model of change,1983,Journal article,Journal of Consulting and Clinical Psychology,American Psychological Association,13466,https://psycnet.apa.org/doi/10.1037/0022-006X.51.3.390,Yes
224,Health Psychology,"Rutter, H., Savona, N., Glonti, K., Bibby, J., Cummins, S., Finegood, D. T., ... & White, M.",The need for a complex systems model of evidence for public health,2017,Journal article,The Lancet,Elsevier,828,https://doi.org/10.1016/S0140-6736(17)31267-9,Yes
225,Positive Psychology,"Fredrickson, B. L.",The role of positive emotions in positive psychology: The broaden-and-build theory of positive emotions,2001,Journal article,American Psychologist,American Psychological Association,19887,https://psycnet.apa.org/doi/10.1037/0003-066X.56.3.218,Yes
226,Positive Psychology,"Seligman, M. E., Steen, T. A., Park, N., & Peterson, C.",Positive psychology progress: Empirical validation of interventions,2005,Journal article,American Psychologist,American Psychological Association,9182,https://psycnet.apa.org/doi/10.1037/0003-066X.60.5.410,Yes
227,Positive Psychology,"Lyubomirsky, S., Sheldon, K. M., & Schkade, D.",Pursuing happiness: The architecture of sustainable change,2005,Journal article,Review of General Psychology,SAGE Publishing,5093,https://doi.org/10.1037/1089-2680.9.2.111,Yes
228,Positive Psychology,"Folkman, S., & Moskowitz, J. T.",Positive affect and the other side of coping,2000,Journal article,American Psychologist,American Psychological Association,3818,https://psycnet.apa.org/doi/10.1037/0003-066X.55.6.647,Yes
229,Positive Psychology,"Diener, E., Lucas, R. E., & Oishi, S.",Advances and open questions in the science of subjective well-being,2018,Journal article,Collabra: Psychology,University of California Press,743,https://doi.org/10.1525/collabra.115,Yes
230,Positive Psychology,"Kashdan, T. B., & Rottenberg, J.",Psychological flexibility as a fundamental aspect of health,2010,Journal article,Clinical Psychology Review,Elsevier,2944,https://doi.org/10.1016/j.cpr.2010.03.001,Yes
231,Positive Psychology,"Peterson, C., & Seligman, M. E.",Character strengths and virtues: A handbook and classification,2004,Book,,Oxford University Press,13799,https://psycnet.apa.org/record/2004-13277-000,Yes
232,Positive Psychology,"Park, N., Peterson, C., & Seligman, M. E.",Strengths of character and well-being,2004,Journal article,Journal of Social and Clinical Psychology,Guilford Press,2979,https://doi.org/10.1521/jscp.23.5.603.50748,Yes
233,Positive Psychology,"Wood, A. M., Linley, P. A., Maltby, J., Baliousis, M., & Joseph, S.",The authentic personality: A theoretical and empirical conceptualization and the development of the Authenticity Scale,2011,Journal article,Journal of Counseling Psychology,American Psychological Association,1470,https://psycnet.apa.org/doi/10.1037/0022-0167.55.3.385,Yes
234,Positive Psychology,"Seligman, M. E., Steen, T. A., Park, N., & Peterson, C.",Positive psychology progress: Empirical validation of interventions,2005,Journal article,American Psychologist,American Psychological Association,9182,https://psycnet.apa.org/doi/10.1037/0003-066X.60.5.410,Yes
235,Positive Psychology,"Proyer, R. T., Ruch, W., & Buschor, C.","Testing strengths-based interventions: A preliminary study on the effectiveness of a program targeting curiosity, gratitude, hope, humor, and zest for enhancing life satisfaction",2015,Journal article,Journal of Happiness Studies,Springer Nature,327,https://doi.org/10.1007/s10902-012-9331-9,Yes
236,Positive Psychology,"Uchino, B. N., Cacioppo, J. T., & Kiecolt-Glaser, J. K.",The relationship between social support and physiological processes: A review with emphasis on underlying mechanisms and implications for health,1996,Journal article,Psychological Bulletin,American Psychological Association,4289,https://psycnet.apa.org/doi/10.1037/0033-2909.119.3.488,Yes
237,Positive Psychology,"Ryff, C. D., & Singer, B. H.",Know thyself and become what you are: A eudaimonic approach to psychological well-being,2008,Journal article,Journal of Happiness Studies,Springer Nature,4224,https://doi.org/10.1007/s10902-006-9019-0,Yes
238,Positive Psychology,"Helliwell, J. F., & Putnam, R. D.",The social context of well-being,2004,Journal article,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society,3435,https://doi.org/10.1098/rstb.2004.1522,Yes
239,Positive Psychology,"Cohen, S., & Wills, T. A.","Stress, social support, and health",1985,Book chapter,,Elsevier,3834,https://psycnet.apa.org/record/1985-97489-000,Yes
240,Positive Psychology,"Emmons, R. A., & McCullough, M. E.",Counting blessings versus burdens: An experimental investigation of gratitude and subjective well-being in daily life,2003,Journal article,Journal of Personality and Social Psychology,American Psychological Association,70,https://psycnet.apa.org/doi/10.1037/0022-3514.84.2.377,Yes
241,Positive Psychology,"Lyubomirsky, S., King, L., & Diener, E.",The benefits of frequent positive affect: Does happiness lead to success?,2005,Journal article,Psychological Bulletin,American Psychological Association,10083,https://psycnet.apa.org/doi/10.1037/0033-2909.131.6.803,Yes
242,Positive Psychology,"Fredrickson, B. L., Cohn, M. A., Coffey, K. A., Pek, J., & Finkel, S. M.","Open hearts build lives: Positive emotions, induced through loving-kindness meditation, build consequential personal resources",2008,Journal article,Journal of Personality and Social Psychology,American Psychological Association,3442,https://psycnet.apa.org/doi/10.1037/a0013262,Yes
243,Positive Psychology,"Lyubomirsky, S., & Layous, K.",How do simple positive activities increase well-being?,2013,Journal article,Current Directions in Psychological Science,SAGE Publishing,1440,https://doi.org/10.1177/0963721412469809,Yes
244,Positive Psychology,"Keyes, C. L.",Mental illness and/or mental health? Investigating axioms of the complete state model of health,2005,Journal article,Journal of Consulting and Clinical Psychology,American Psychological Association,3915,https://psycnet.apa.org/doi/10.1037/0022-006X.73.3.539,Yes
245,Positive Psychology,"Peterson, C., Park, N., & Seligman, M. E.",Orientations to happiness and life satisfaction: The full life versus the empty life,2005,Journal article,Journal of Happiness Studies,Springer Nature,2340,https://doi.org/10.1007/s10902-004-1278-z,Yes
246,Positive Psychology,"Deci, E. L., & Ryan, R. M.","Hedonia, eudaimonia, and well-being: An introduction",2008,Journal article,Journal of Happiness Studies,Springer Nature,3051,https://doi.org/10.1007/s10902-006-9018-1,Yes
247,Positive Psychology,"Fredrickson, B. L., & Losada, M. F.",Positive affect and the complex dynamics of human flourishing,2005,Journal article,American Psychologist,American Psychological Association,3791,https://psycnet.apa.org/doi/10.1037/0003-066X.60.7.678,Yes
248,Positive Psychology,"Kashdan, T. B., Biswas-Diener, R., & King, L. A.",Reconsidering happiness: The costs of distinguishing between hedonics and eudaimonia,2008,Journal article,The Journal of Positive Psychology,Taylor & Francis,1327,https://doi.org/10.1080/17439760802303044,Yes
249,Positive Psychology,"Vittersø, J., Roysamb, E., & Diener, E.",The concept of life satisfaction across cultures: Exploring its diverse meaning and relation to economic wealth,2002,Journal article,Journal of Personality and Social Psychology,American Psychological Association,,,No
